,Unnamed: 0.1,Unnamed: 0,price,date of last sale,year of first sale,propertyType,bedrooms,lat,lng
0,0.0,0.0,1145000.0,2021-03-12,2021,Detached,4,51.62075,-0.24721
1,1.0,1.0,1850000.0,2021-03-13,2021,Detached,4,51.47216,-0.24471
2,2.0,0.0,1845000.0,2021-03-14,2021,Detached,4,51.466055,-0.254515
3,3.0,2.0,1840000.0,2021-03-15,2001,Detached,4,51.45995,-0.26432
4,4.0,3.0,1730000.0,2021-03-16,2021,Detached,0,51.46102,-0.27565
5,5.0,4.0,682000.0,2021-03-17,2021,Detached,3,51.5228,-0.27
6,6.0,5.0,755000.0,2021-03-18,2010,Detached,4,51.45803,0.00292
7,7.0,6.0,1175000.0,2021-03-19,1997,Detached,5,51.63968,-0.08881
8,8.0,1.0,960000.0,2021-03-20,1997,Detached,5,51.550605,-0.045535
9,9.0,2.0,960000.0,2021-03-21,1997,Detached,5,51.550605,-0.045535
10,10.0,7.0,745000.0,2021-03-22,2014,Detached,3,51.46153,-0.00226
11,11.0,8.0,460000.0,2021-03-23,2007,Detached,2,51.49699,-0.2158
12,12.0,9.0,1865000.0,2021-03-24,2005,Detached,6,51.58833,-0.17917
13,13.0,10.0,2000000.0,2021-03-25,2021,Detached,6,51.63579,-0.20097
14,14.0,11.0,2930000.0,2021-03-26,2015,Detached,0,51.47109,-0.00918
15,15.0,3.0,2052500.0,2021-03-27,2015,Detached,0,51.54614,-0.127755
16,16.0,4.0,2052500.0,2021-03-28,2015,Detached,0,51.54614,-0.127755
17,17.0,12.0,1175000.0,2021-03-29,2021,Detached,0,51.62119,-0.24633
18,18.0,13.0,2638000.0,2021-03-30,2021,Detached,0,51.45973,-0.22546
19,19.0,14.0,2245000.0,2021-03-31,1998,Detached,4,51.47114,-0.1955
20,20.0,15.0,3350000.0,2021-04-01,2021,Detached,5,51.58035,-0.18627
21,21.0,5.0,1972500.0,2021-04-02,2021,Detached,5,51.621015,-0.14221
22,22.0,6.0,1972500.0,2021-04-03,2021,Detached,5,51.621015,-0.14221
23,23.0,7.0,1972500.0,2021-04-04,2021,Detached,5,51.621015,-0.14221
24,24.0,8.0,1972500.0,2021-04-05,2021,Detached,5,51.621015,-0.14221
25,25.0,16.0,595000.0,2021-04-06,2004,Detached,3,51.66168,-0.09815
26,26.0,17.0,615000.0,2021-04-07,2003,Detached,3,51.66742,-0.0807
27,27.0,18.0,545000.0,2021-04-08,2012,Detached,0,51.64741,-0.00725
28,28.0,19.0,745000.0,2021-04-09,2001,Detached,4,51.51114,-0.33429
29,29.0,9.0,616000.0,2021-04-10,2001,Detached,4,51.47601,-0.1772149999999999
30,30.0,10.0,616000.0,2021-04-11,2001,Detached,4,51.47601,-0.1772149999999999
31,31.0,20.0,487000.0,2021-04-12,2021,Detached,1,51.44088,-0.02014
32,32.0,21.0,2800000.0,2021-04-13,2014,Detached,6,51.59295,-0.21638
33,33.0,22.0,4650000.0,2021-04-14,2021,Detached,5,51.57783,-0.16905
34,34.0,23.0,1950000.0,2021-04-15,1996,Detached,5,51.44292,-0.1274
35,35.0,24.0,620000.0,2021-04-16,2021,Detached,3,51.43785,-0.05379
36,36.0,11.0,618000.0,2021-04-17,2021,Detached,3,51.43116,-0.087375
37,37.0,25.0,616000.0,2021-04-18,2021,Detached,3,51.42447,-0.12096
38,38.0,26.0,2500000.0,2021-04-19,1995,Detached,6,51.41955,-0.21465
39,39.0,27.0,610000.0,2021-04-20,2021,Detached,4,51.41218,-0.095
40,40.0,28.0,1355750.0,2021-04-21,2021,Detached,4,51.44717,-0.05167
41,41.0,29.0,815000.0,2021-04-22,2021,Detached,4,51.64197,-0.11343
42,42.0,30.0,1100000.0,2021-04-23,2021,Detached,4,51.6325,-0.1342
43,43.0,12.0,879000.0,2021-04-24,2021,Detached,4,51.523275,-0.122545
44,44.0,13.0,879000.0,2021-04-25,2021,Detached,4,51.523275,-0.122545
45,45.0,31.0,658000.0,2021-04-26,1997,Detached,3,51.41405,-0.11089
46,46.0,32.0,4400000.0,2021-04-27,1996,Detached,2,51.57081,-0.18593
47,47.0,33.0,740000.0,2021-04-28,2021,Detached,3,51.46552,-0.08515
48,48.0,34.0,1750000.0,2021-04-29,1997,Detached,5,51.55588,-0.22663
49,49.0,35.0,510000.0,2021-04-30,2021,Detached,3,51.48426,0.10719
50,50.0,14.0,676000.5,2021-05-01,2021,Detached,3,51.55692,-0.03213
51,51.0,15.0,676000.5,2021-05-02,2021,Detached,3,51.55692,-0.03213
52,52.0,16.0,676000.5,2021-05-03,2021,Detached,3,51.55692,-0.03213
53,53.0,36.0,842001.0,2021-05-04,2021,Detached,0,51.62958,-0.17145
54,54.0,37.0,2000000.0,2021-05-05,2006,Detached,0,51.63411,-0.17387
55,55.0,38.0,1125000.0,2021-05-06,2021,Detached,4,51.63686,-0.13691
56,56.0,39.0,2100000.0,2021-05-07,2021,Detached,0,51.63072,-0.10725
57,57.0,17.0,1737500.0,2021-05-08,2021,Detached,0,51.620855,-0.14615
58,58.0,18.0,1737500.0,2021-05-09,2021,Detached,0,51.620855,-0.14615
59,59.0,19.0,1737500.0,2021-05-10,2021,Detached,0,51.620855,-0.14615
60,60.0,40.0,1375000.0,2021-05-11,2021,Detached,0,51.61099,-0.18505
61,61.0,41.0,860000.0,2021-05-12,2006,Detached,3,51.61638,-0.12186
62,62.0,20.0,2405000.0,2021-05-13,2006,Detached,3,51.516645,-0.176145
63,63.0,42.0,3950000.0,2021-05-14,2021,Detached,0,51.41691,-0.23043
64,64.0,21.0,5475000.0,2021-05-15,2021,Detached,0,51.49006,-0.19239
65,65.0,22.0,5475000.0,2021-05-16,2021,Detached,0,51.49006,-0.19239
66,66.0,43.0,7000000.0,2021-05-17,2021,Detached,6,51.56321,-0.15435
67,67.0,44.0,1499950.0,2021-05-18,1997,Detached,5,51.52536,-0.28504
68,68.0,45.0,705000.0,2021-05-19,2021,Detached,2,51.64112,-0.08311
69,69.0,46.0,1460000.0,2021-05-20,2021,Detached,4,51.55027,-0.12097
70,70.0,47.0,2300000.0,2021-05-21,2012,Detached,5,51.46536,-0.27117
71,71.0,23.0,4512500.0,2021-05-22,2012,Detached,5,51.500365,-0.228245
72,72.0,24.0,4512500.0,2021-05-23,2012,Detached,5,51.500365,-0.228245
73,73.0,48.0,6725000.0,2021-05-24,2021,Detached,5,51.53537,-0.18532
74,74.0,49.0,725000.0,2021-05-25,2021,Detached,2,51.62764,-0.10608
